,Price,Serviced,Newly Built,Furnished,Bedrooms,Bathrooms,Toilets,Duplex,Terraced,Detached,Penthouse,Apartment,House,State,Area,Microlocation,Area Dummy
4511,2500000,1,1,0,4,5,5,1,1,0,0,0,1,Lagos,Lekki,"Off Orchid Hotels Road, Eleganza Bus Stop By Chevron Toll Gate. Lekki Phase 2",
4512,3200000,0,1,0,5,5,5,1,1,0,0,0,1,Lagos,Gbagada,Secure And Serene Estate Millenuim Ups,
4513,2500000,0,0,0,3,3,4,1,1,0,0,0,1,Lagos,Lekki,Lekki Phase 1,
4514,6000000,0,0,0,4,4,5,1,1,0,0,0,1,Lagos,Lekki,Lekki Phase 1,
4515,2400000,0,0,0,4,4,5,1,1,0,0,0,1,Lagos,Lekki,Ikate,
4516,4500000,1,1,0,4,4,5,1,1,0,0,0,1,Lagos,Lekki,Lekki Phase 1,
4517,3000000,1,1,0,4,4,5,1,1,0,0,0,1,Lagos,Lekki,Lekki Agungi,
4518,3100000,1,0,0,3,2,3,1,1,0,0,0,1,Lagos,Lekki,Lekki Phase 1,
4519,6000000,0,0,0,4,4,5,1,1,0,0,0,1,Lagos,Lekki,Lekki Phase 1,
4520,2700000,0,0,0,4,4,5,1,1,0,0,0,1,Lagos,Lekki,Lekki Phase 1,
4521,4500000,0,1,1,4,4,4,1,1,0,0,0,1,Lagos,Victoria Island,Ihuntayo Street Oniru Oniru Victoria,
4522,3800000,0,0,0,4,4,5,1,1,0,0,0,1,Lagos,Lekki,Lekki Phase 1,
4523,2500000,0,0,0,4,4,5,1,1,0,0,0,1,Lagos,Lekki,Agungi,
4524,3000000,0,0,0,4,4,5,1,1,0,0,0,1,Lagos,Lekki,Osapa London,
4525,4500000,0,1,0,5,5,5,1,1,0,0,0,1,Lagos,Lekki,Osapa London,
4526,6000000,0,0,0,5,5,6,1,1,0,0,0,1,Lagos,Victoria Island,Oniru Victoria,
4527,3000000,1,1,0,5,5,6,1,1,0,0,0,1,Lagos,Lekki,Chevron,
4528,5000000,1,0,0,5,5,6,1,1,0,0,0,1,Lagos,Lekki,Lekki Phase 1,
4529,5000000,0,0,0,4,4,5,1,1,0,0,0,1,Lagos,Victoria Island,Oniru Victoria,
4530,4500000,0,0,0,4,4,5,1,1,0,0,0,1,Lagos,Lekki,Lekki Phase 1,
4531,3000000,1,0,0,4,4,5,1,1,0,0,0,1,Lagos,Lekki,Osapa London,
4532,5500000,0,1,0,5,5,6,1,1,0,0,0,1,Lagos,Victoria Island,Oniru Victoria,
4533,2800000,0,0,0,4,4,5,1,1,0,0,0,1,Lagos,Lekki,Lekki Phase 1,
4534,4500000,1,1,0,4,4,5,1,1,0,0,0,1,Lagos,Lekki,Lekki Right Lekki Phase 1,
4535,5000000,0,0,0,4,4,5,1,1,0,0,0,1,Lagos,Lekki,Lekki Phase 1,
4536,4000000,0,0,0,4,4,5,1,1,0,0,0,1,Lagos,Victoria Island,Oniru Victoria,
4537,10000000,0,0,0,4,4,5,1,1,0,0,0,1,Lagos,Ikoyi,Old Ikoyi,
4538,500000,0,1,0,1,1,2,0,1,0,0,0,1,Lagos,Ajah,Olokonla,
4539,3500000,0,0,0,4,4,5,1,1,0,0,0,1,Lagos,Lekki,Ikate,
4540,6000000,1,0,0,4,4,5,1,1,0,0,0,1,Lagos,Ikoyi,Abacha Estate,
4541,6000000,0,1,0,4,4,5,1,1,0,0,0,1,Lagos,Lekki,Lekki Phase 1,
4542,2800000,0,0,0,4,4,5,1,1,0,0,0,1,Lagos,Lekki,Chevron,
4543,2300000,0,0,0,4,4,5,1,1,0,0,0,1,Lagos,Lekki,Osapa London,
4544,7000000,0,0,0,5,5,6,1,1,0,0,0,1,Lagos,Victoria Island,Oniru Oniru Victoria,
4545,3500000,0,1,0,4,5,5,1,1,0,0,0,1,Lagos,Lekki,Agungi Agungi,
4546,5500000,0,1,0,5,5,5,1,1,0,0,0,1,Lagos,Lekki,Lekki Phase 1,
4547,7500000,1,1,1,4,4,5,1,1,0,0,0,1,Lagos,Victoria Island,Banana Island Road Victoria,
4548,5000000,0,0,0,4,4,5,1,1,0,0,0,1,Lagos,Lekki,Lekki Phase 1,
4549,5300000,0,1,0,4,4,5,1,1,0,0,0,1,Lagos,Lekki,Lekki Phase 1,
4550,10000000,0,0,0,4,4,5,1,1,0,0,0,1,Lagos,Ikoyi,Osborne Foreshore Estate,
4551,2000000,1,0,0,4,4,5,1,1,0,0,0,1,Lagos,Ajah,Sangotedo,
4552,3500000,0,1,0,4,4,5,1,1,0,0,0,1,Lagos,Lekki,Lekki Phase 1,
4553,1500000,0,0,0,3,3,4,1,1,0,0,0,1,Lagos,Gbagada,Yetunde Brown Ifako Gbagada,
4554,3000000,0,0,0,4,4,5,1,1,0,0,0,1,Lagos,Lekki,Agungi,
4555,4500000,1,0,0,4,4,5,1,1,0,0,0,1,Lagos,Victoria Island,Oniru Oniru Victoria,
4556,1100000,0,1,0,2,2,3,1,1,0,0,0,1,Lagos,Ikosi,Magodo Village Isheri Phase 1 Magodo Kosofe,
4557,3500000,0,0,0,4,4,5,1,1,0,0,0,1,Lagos,Lekki, Lekki Phase 1,
4558,4500000,0,0,0,4,4,5,1,1,0,0,0,1,Lagos,Lekki,Lekki Lekki Phase 1,
4559,5500000,0,0,0,5,5,6,1,1,0,0,0,1,Lagos,Lekki,Lekki Lekki Phase 1,
4560,1200000,0,0,0,3,3,4,1,1,0,0,0,1,Lagos,Lekki,Scheme 2 Lekki Phase 2,
4561,10000000,1,1,0,4,5,5,1,1,0,0,0,1,Lagos,Ikoyi,Good Road Macpherson,
4562,4000000,1,0,0,4,4,5,1,1,0,0,0,1,Lagos,Lekki,Lekki Lekki Phase 1,
4563,7500000,0,0,0,5,5,6,1,1,0,0,0,1,Lagos,Lekki,Lekki Lekki Phase 1,
4564,2000000,0,1,0,4,4,5,1,1,0,0,0,1,Lagos,Ojodu,Ayobalogun Isheri North,
4565,4500000,0,1,0,4,4,5,1,1,0,0,0,1,Lagos,Ikeja,Via Joel Ogunaike Ikeja Gra,
4566,3500000,1,0,0,3,3,4,1,1,0,0,0,1,Lagos,Ikeja,Adeyamo Alakija Ikeja Gra,
4567,5000000,0,0,0,4,4,5,1,1,0,0,0,1,Lagos,Lekki,Lekki Lekki Phase 1,
4568,6500000,0,0,0,4,4,5,1,1,0,0,0,1,Lagos,Ikoyi,Ikoyi Old Ikoyi,
4569,4000000,0,0,0,5,5,6,1,1,0,0,0,1,Lagos,Lekki,Lekki Ikate,
4570,500000,0,0,0,3,2,2,1,1,0,0,0,1,Lagos,Ojodu,Berger,
4571,1200000,0,1,0,3,3,4,1,1,0,0,0,1,Lagos,Isolo,Ajao Estate Isolo. Lagos Mainland Ajao Estate,
4572,1500000,0,1,0,4,4,5,1,1,0,0,0,1,Lagos,Ajah,"Peaceville Estate, Close To Cooperative Villa Estate Badore",
4573,5000000,0,0,0,4,4,5,1,1,0,0,0,1,Lagos,Ikeja,Oladipo Bateye Street Ikeja Gra,
4574,2500000,0,1,0,3,3,4,1,1,0,0,0,1,Lagos,Gbagada,Atunrase Street Atunrase Medina,
4575,2500000,1,0,0,2,2,3,1,1,0,0,0,1,Lagos,Lekki,Lekki 1 Lekki Phase 1,
4576,4000000,0,1,0,4,5,6,1,1,0,0,0,1,Lagos,Lekki,Lekki Phase 1 Lekki Phase 1,
4577,2000000,0,0,0,4,4,1,1,1,0,0,0,1,Lagos,Lekki,Opposite Victory Park Estate Osapa London,
4578,9000000,0,1,0,4,4,5,1,1,0,0,0,1,Lagos,Ikoyi,"Ruxton Street, Ikoyi Old Ikoyi",
4579,5000000,1,1,1,4,4,5,1,1,0,0,0,1,Lagos,Lekki,Off Admiralty Way Lekki Phase 1,
4580,2500000,0,0,0,4,0,0,1,1,0,0,0,1,Lagos,Lekki, Ikota,
4581,3000000,0,1,0,4,4,5,1,1,0,0,0,1,Lagos,Lekki,Orchid Road Lekki Lekki Phase 1,
4582,1200000,0,1,0,4,5,5,1,1,0,0,0,1,Lagos,Ajah,Remi Olokonla,
4583,5500000,1,1,0,5,5,6,1,1,0,0,0,1,Lagos,Ikeja,Akora Villa Estate Adeniyi Jones,
4584,850000,0,0,0,2,2,3,1,1,0,0,0,1,Lagos,Ikosi,Magodo Ph1 Isheri Magodo Kosofe,
4585,1200000,0,1,0,3,3,4,1,1,0,0,0,1,Lagos,Ajah,Located At Seaside Estate Off Badore Road Badore,
4586,4500000,0,1,0,3,3,4,1,1,0,0,0,1,Lagos,Victoria Island,Oniru Oniru Victoria,
4587,6000000,0,0,0,4,4,5,1,1,0,0,0,1,Lagos,Victoria Island,Oniru Oniru Victoria,
4588,8000000,0,1,0,4,4,5,1,1,0,0,0,1,Lagos,Ikoyi,Ikoyi Old Ikoyi,
4589,7000000,0,0,0,4,4,5,1,1,0,0,0,1,Lagos,Lekki,Lekki Lekki Phase 1,
4590,1800000,0,1,0,4,4,5,1,1,0,0,0,1,Lagos,Lekki,Ilasan,
4591,8000000,1,0,0,5,5,6,1,1,0,0,0,1,Lagos,Ikoyi,Ikoyi Old Ikoyi,
4592,8000000,0,1,0,4,4,5,1,1,0,0,0,1,Lagos,Victoria Island,Oniru Oniru Victoria,
4593,7000000,0,0,0,5,5,6,1,1,0,0,0,1,Lagos,Ikoyi,Osborne Osborne Foreshore Estate,
4594,2500000,0,1,0,3,3,4,1,1,0,0,0,1,Lagos,Lekki,Ikota Villa Ikota,
4595,2500000,0,1,0,4,4,5,1,1,0,0,0,1,Lagos,Lekki,"Victoria Crest 1, Orchid Hotel Road",
4596,2500000,0,1,0,4,4,5,1,1,0,0,0,1,Lagos,Lekki,Agungi,
4597,7000000,1,1,0,5,5,6,1,1,0,0,0,1,Lagos,Victoria Island,Oniru Oniru Victoria,
4598,2500000,0,0,0,4,4,5,1,1,0,0,0,1,Lagos,Lekki,Lekki Agungi,
4599,3000000,0,1,0,4,4,5,1,1,0,0,0,1,Lagos,Lekki,Lekki Ikota,
4600,10000000,0,1,0,4,4,5,1,1,0,0,0,1,Lagos,Ikoyi,Osborne Phase 1,
4601,3500000,0,0,0,2,2,3,1,1,0,0,0,1,Lagos,Ikoyi,Osborne Phase 2,
4602,2000000,0,0,0,3,3,4,1,1,0,0,0,1,Lagos,Lekki,Ikota Villa Ikota,
4603,2800000,0,0,0,4,4,5,1,1,0,0,0,1,Lagos,Lekki,Lekki Ikota,
4604,3000000,0,0,0,4,4,5,1,1,0,0,0,1,Lagos,Lekki,Lekki Lekki Phase 1,
4605,10000000,0,1,0,4,4,5,1,1,0,0,0,1,Lagos,Ikoyi,Ikoyi Old Ikoyi,
4606,2500000,0,1,0,3,4,4,1,1,0,0,0,1,Lagos,Lekki,Lafiaji Lekki Phase 2,
4607,6000000,1,0,0,5,5,5,1,1,0,0,0,1,Lagos,Lekki, Lekki Phase 1,
4608,2800000,0,0,0,4,5,5,1,1,0,0,0,1,Lagos,Lekki,Lafiaji Lekki Phase 2,
4609,3000000,0,1,0,4,5,5,1,1,0,0,0,1,Lagos,Lekki,Lafiaji Lekki Phase 2,
4610,2300000,0,0,0,4,5,5,1,1,0,0,0,1,Lagos,Lekki,Agungi Agungi,
4611,2500000,0,1,0,3,4,4,1,1,0,0,0,1,Lagos,Lekki,Lafiaji Lekki Phase 2,
4612,2700000,0,1,0,4,5,5,1,1,0,0,0,1,Lagos,Lekki,Agungi Agungi,
4613,6000000,0,0,0,4,4,5,1,1,0,0,0,1,Lagos,Lekki, Lekki Phase 1,
4614,5000000,0,0,0,4,4,5,1,1,0,0,0,1,Lagos,Lekki, Lekki Phase 1,
4615,1600000,0,1,0,4,4,5,1,1,0,0,0,1,Lagos,Ajah,Llaje Ilaje,
4616,1200000,0,1,0,2,2,3,1,1,0,0,0,1,Lagos,Ajah,Llaje Ilaje,
4617,2800000,1,1,0,4,4,5,1,1,0,0,0,1,Lagos,Lekki,Orchid Road Lekki Phase 2,
4618,8000000,1,0,0,4,4,5,1,1,0,0,0,1,Lagos,Ikoyi,Oba Elegushi Road Ikoyi S.w,
4619,4000000,1,1,0,4,4,5,1,1,0,0,0,1,Lagos,Lekki,Off Fola Oshibo Lekki Phase 1,
