,Unnamed: 0,Price,Serviced,Newly Built,Furnished,Bedrooms,Bathrooms,Toilets,Duplex,Terraced,Detached,Penthouse,Apartment,House,State,Area,Microlocation,Area Dummy,location_append,Price Standard,Longitude,Latitude
3565,3565,2500000,1,0,1,4,4,5,1,1,0,0,0,1,Lagos,Ogba,George Crescent Behind Excellence Hotel Ogba. Aguda(ogba),,"Ogba, Lagos",-0.6123242515436027,3.3404654369033966,6.618066697286817
3566,3566,2800000,1,1,1,4,4,5,1,1,0,0,0,1,Lagos,Ikosi,Magodo Ph1 Estate Gateway Zone Isheri Via Berger. Kosofe,,"Ikosi, Lagos",-0.4749871217987906,3.389720888936946,6.620907794451843
3567,3567,1500000,0,1,1,3,3,4,1,1,0,0,0,1,Lagos,Iju,Nelson Cole Estate Off Iju Road Via College Road.,,"Iju, Lagos",-1.0701146840263096,3.337270540253609,6.6478000405215525
3568,3568,3500000,0,1,0,4,4,5,1,1,0,0,0,1,Lagos,Ojodu,Omole Ph1 Estate Via Grammar School. Omole Phase 1,,"Ojodu, Lagos",-0.1545338190608958,3.3632243589774644,6.6409227554929595
3569,3569,1800000,0,0,0,3,3,4,1,1,0,0,0,1,Lagos,Ojodu,Omole Ph2 Estate Via Berger. Omole Phase 2,,"Ojodu, Lagos",-0.9327775542814976,3.3632243589774644,6.6409227554929595
3570,3570,3000000,0,0,0,4,5,5,1,1,0,0,0,1,Lagos,Ajah,Abraham Adesanya Axis Abraham Adesanya Estate,,"Ajah, Lagos",-0.38342903530224925,3.5659176270003927,6.4616185490531635
3571,3571,5500000,0,0,0,4,4,5,1,1,0,0,0,1,Lagos,Lekki,Ikota Axis Ikota,,"Lekki, Lagos",0.761047045904518,3.811528889589191,6.463467417995378
3572,3572,2800000,1,1,0,4,4,4,1,1,0,0,0,1,Lagos,Lekki,2nd Toll Gate Chevron Lekki Phase 2,,"Lekki, Lagos",-0.4749871217987906,3.811528889589191,6.463467417995378
3573,3573,3000000,1,1,0,4,4,5,1,1,0,0,0,1,Lagos,Lekki,2nd Toll Gate Chevron Lekki Phase 2,,"Lekki, Lagos",-0.38342903530224925,3.811528889589191,6.463467417995378
3574,3574,3000000,1,0,0,4,4,5,1,1,0,0,0,1,Lagos,Lekki,2nd Toll Gate Chevron Chevron,,"Lekki, Lagos",-0.38342903530224925,3.811528889589191,6.463467417995378
3575,3575,4500000,1,0,0,2,3,3,1,1,0,0,0,1,Lagos,Victoria Island,Vi Oniru Victoria,,"Victoria Island, Lagos",0.3032566134218111,3.44001490107383,6.428345382914202
3576,3576,5500000,1,1,0,3,4,4,1,1,0,0,0,1,Lagos,Victoria Island,Onriu Vi Oniru Victoria,,"Victoria Island, Lagos",0.761047045904518,3.44001490107383,6.428345382914202
3577,3577,3000000,1,1,0,4,4,5,1,1,0,0,0,1,Lagos,Lekki,Chevron Lekki Chevron,,"Lekki, Lagos",-0.38342903530224925,3.811528889589191,6.463467417995378
3578,3578,5500000,1,0,0,4,4,4,1,1,0,0,0,1,Lagos,Lekki,Ikate Axis Ilasan,,"Lekki, Lagos",0.761047045904518,3.811528889589191,6.463467417995378
3579,3579,3500000,1,0,0,4,4,5,1,1,0,0,0,1,Lagos,Lekki,Ikota Ikota,,"Lekki, Lagos",-0.1545338190608958,3.811528889589191,6.463467417995378
3580,3580,800000,0,0,0,2,2,3,1,1,0,0,0,1,Lagos,Isolo,Okada Park Ajao Estate,,"Isolo, Lagos",-1.3905679867642045,3.3222542884880073,6.537511506689676
3581,3581,3200000,1,0,0,4,5,5,1,1,0,0,0,1,Lagos,Lekki,Orchid Oral Estate,,"Lekki, Lagos",-0.29187094880570785,3.811528889589191,6.463467417995378
3582,3582,7000000,0,0,0,5,5,6,1,1,0,0,0,1,Lagos,Victoria Island,Oniru Victoria,,"Victoria Island, Lagos",1.4477326946285782,3.44001490107383,6.428345382914202
3583,3583,1500000,0,1,0,2,2,3,1,1,0,0,0,1,Lagos,Lekki,Mega Chicken Ikota,,"Lekki, Lagos",-1.0701146840263096,3.811528889589191,6.463467417995378
3584,3584,3500000,0,1,0,3,3,4,1,1,0,0,0,1,Lagos,Lekki,Newly Built 3bedroom Terrace Duplex For Rent At Lekki Phase 1 Lekki Phase 1,,"Lekki, Lagos",-0.1545338190608958,3.811528889589191,6.463467417995378
3585,3585,3500000,0,0,0,4,0,0,0,1,0,0,0,1,Lagos,Lekki,Vgc,,"Lekki, Lagos",-0.1545338190608958,3.811528889589191,6.463467417995378
3586,3586,3000000,0,0,0,4,4,4,1,1,0,0,0,1,Lagos,Yaba,Connal Road Sabo,,"Yaba, Lagos",-0.38342903530224925,3.3870802913397373,6.507822008056753
3587,3587,2500000,0,1,0,2,2,3,1,1,0,0,0,1,Lagos,Lekki,Ikota,,"Lekki, Lagos",-0.6123242515436027,3.811528889589191,6.463467417995378
3588,3588,3000000,0,1,0,4,4,5,1,1,0,0,0,1,Lagos,Lekki,Off Lekki Expressway Ikota,,"Lekki, Lagos",-0.38342903530224925,3.811528889589191,6.463467417995378
3589,3589,8500000,1,1,1,5,5,6,1,1,0,0,0,1,Lagos,Victoria Island,"Jasper Ike Street, Off Market Road, Oniru Oniru Victoria",,"Victoria Island, Lagos",2.1344183433526385,3.44001490107383,6.428345382914202
3590,3590,4000000,1,0,0,3,4,5,0,1,0,0,0,1,Lagos,Ikeja,G.r.a Ikeja Gra,,"Ikeja, Lagos",0.07436139718045764,3.3478371646130074,6.58927091785122
3591,3591,10000000,0,0,0,4,4,5,1,1,0,0,0,1,Lagos,Ikoyi,Old Ikoyi,,"Ikoyi, Lagos",2.821103992076699,3.4223636811624742,6.4547194487926385
3592,3592,2500000,1,0,0,3,4,4,1,1,0,0,0,1,Lagos,Ikoyi,Magodo Lagos Island Lagos,,"Ikoyi, Lagos",-0.6123242515436027,3.4223636811624742,6.4547194487926385
3593,3593,4500000,0,0,1,4,5,6,1,1,0,0,0,1,Lagos,Ikeja,G.r.a Ikeja Gra,,"Ikeja, Lagos",0.3032566134218111,3.3478371646130074,6.58927091785122
3594,3594,5500000,0,1,0,4,4,5,1,1,0,0,0,1,Lagos,Ikosi,Magodo Brooks Magodo Kosofe,,"Ikosi, Lagos",0.761047045904518,3.389720888936946,6.620907794451843
3595,3595,7500000,0,0,0,4,4,5,1,1,0,0,0,1,Lagos,Ikoyi,Parkview Estate,,"Ikoyi, Lagos",1.6766279108699318,3.4223636811624742,6.4547194487926385
3596,3596,5000000,0,0,1,5,5,5,1,1,0,0,0,1,Lagos,Ikeja,Rami Fanni Kayode Ikeja Gra,,"Ikeja, Lagos",0.5321518296631645,3.3478371646130074,6.58927091785122
3597,3597,4500000,0,1,0,5,5,6,1,1,0,0,0,1,Lagos,Ikosi,Magodo Gra Phase 2 Kosofe,,"Ikosi, Lagos",0.3032566134218111,3.389720888936946,6.620907794451843
3598,3598,3500000,0,0,0,4,4,5,1,1,0,0,0,1,Lagos,Lekki,Ologolo,,"Lekki, Lagos",-0.1545338190608958,3.811528889589191,6.463467417995378
3599,3599,3000000,1,1,0,4,5,5,1,1,0,0,0,1,Lagos,Lekki,Gra Ikota,,"Lekki, Lagos",-0.38342903530224925,3.811528889589191,6.463467417995378
3600,3600,3500000,0,1,1,5,5,5,1,1,0,0,0,1,Lagos,Okota,Green Field Estate Ago Palace,,"Okota, Lagos",-0.1545338190608958,3.3116025076315845,6.5069557447588355
3601,3601,11000000,0,0,0,5,5,5,1,1,0,0,0,1,Lagos,Ikoyi, Banana Island,,"Ikoyi, Lagos",3.278894424559406,3.4223636811624742,6.4547194487926385
3602,3602,8000000,0,0,0,4,4,4,1,1,0,0,0,1,Lagos,Ikoyi, Banana Island,,"Ikoyi, Lagos",1.9055231271112851,3.4223636811624742,6.4547194487926385
3603,3603,3000000,1,0,0,4,4,4,1,1,0,0,0,1,Lagos,Lekki,Behind Mega Chicken Ikota,,"Lekki, Lagos",-0.38342903530224925,3.811528889589191,6.463467417995378
3604,3604,9000000,1,0,0,4,4,4,1,1,0,0,0,1,Lagos,Ikoyi,Banana Island,,"Ikoyi, Lagos",2.3633135595939923,3.4223636811624742,6.4547194487926385
3605,3605,6500000,1,0,0,3,0,0,1,1,0,0,0,1,Lagos,Ikoyi, Banana Island,,"Ikoyi, Lagos",1.218837478387225,3.4223636811624742,6.4547194487926385
3606,3606,4000000,1,1,1,4,4,4,1,1,0,0,0,1,Lagos,Ikeja,Ikeja Gra,,"Ikeja, Lagos",0.07436139718045764,3.3478371646130074,6.58927091785122
3607,3607,4000000,1,0,0,3,0,0,1,1,0,0,0,1,Lagos,Ikoyi, Old Ikoyi,,"Ikoyi, Lagos",0.07436139718045764,3.4223636811624742,6.4547194487926385
3608,3608,5000000,1,1,0,4,4,5,1,1,0,0,0,1,Lagos,Lekki,Ikate,,"Lekki, Lagos",0.5321518296631645,3.811528889589191,6.463467417995378
3609,3609,3500000,1,1,0,4,4,5,1,1,0,0,0,1,Lagos,Lekki,Orchid Road Lekki Phase 2,,"Lekki, Lagos",-0.1545338190608958,3.811528889589191,6.463467417995378
3610,3610,2500000,1,1,0,2,2,3,1,1,0,0,0,1,Lagos,Lekki,Orchid Road Lekki Phase 2,,"Lekki, Lagos",-0.6123242515436027,3.811528889589191,6.463467417995378
3611,3611,2500000,0,1,0,4,4,6,1,1,0,0,0,1,Lagos,Ajah,Ado,,"Ajah, Lagos",-0.6123242515436027,3.5659176270003927,6.4616185490531635
3612,3612,2000000,0,1,0,3,3,4,1,1,0,0,0,1,Lagos,Lekki,Ikota,,"Lekki, Lagos",-0.8412194677849562,3.811528889589191,6.463467417995378
3613,3613,2800000,1,1,0,4,4,5,1,1,0,0,0,1,Lagos,Lekki,Orchid Road Chevron,,"Lekki, Lagos",-0.4749871217987906,3.811528889589191,6.463467417995378
3614,3614,4500000,1,1,0,4,4,5,1,1,0,0,0,1,Lagos,Lekki,Ikate,,"Lekki, Lagos",0.3032566134218111,3.811528889589191,6.463467417995378
3615,3615,3000000,1,0,0,3,3,4,1,1,0,0,0,1,Lagos,Lekki,"Victoria Crest Estate, Orchid Road",,"Lekki, Lagos",-0.38342903530224925,3.811528889589191,6.463467417995378
3616,3616,6000000,0,0,0,4,4,5,1,1,0,0,0,1,Lagos,Victoria Island,Oniru Estate Oniru Victoria,,"Victoria Island, Lagos",0.9899422621458714,3.44001490107383,6.428345382914202
3617,3617,7500000,1,0,0,4,4,5,1,1,0,0,0,1,Lagos,Ikoyi,Off Bourdillon Bourdillon,,"Ikoyi, Lagos",1.6766279108699318,3.4223636811624742,6.4547194487926385
3618,3618,3000000,1,0,0,3,3,4,1,1,0,0,0,1,Lagos,Lekki,Victoria Crest Estate.. Orchard Road,,"Lekki, Lagos",-0.38342903530224925,3.811528889589191,6.463467417995378
3619,3619,6000000,1,1,0,4,0,6,1,1,0,0,0,1,Lagos,Victoria Island,Oniru Estate Oniru Victoria,,"Victoria Island, Lagos",0.9899422621458714,3.44001490107383,6.428345382914202
3620,3620,2800000,0,0,0,4,4,5,1,1,0,0,0,1,Lagos,Gbagada,Atunrase Estate Atunrase Medina,,"Gbagada, Lagos",-0.4749871217987906,3.384354402026543,6.559514044678202
3621,3621,6000000,1,0,0,4,4,5,1,1,0,0,0,1,Lagos,Ikoyi,Ikoyi,,"Ikoyi, Lagos",0.9899422621458714,3.4223636811624742,6.4547194487926385
3622,3622,10000000,1,0,0,4,4,5,1,1,0,0,0,1,Lagos,Ikoyi,Osborne Foreshore Estate,,"Ikoyi, Lagos",2.821103992076699,3.4223636811624742,6.4547194487926385
3623,3623,2800000,0,0,0,4,0,0,1,1,0,0,0,1,Lagos,Gbagada,Atunranshe Estate Atunrase Medina,,"Gbagada, Lagos",-0.4749871217987906,3.384354402026543,6.559514044678202
3624,3624,3000000,1,0,0,4,4,5,1,1,0,0,0,1,Lagos,Lekki,Spg Ologolo,,"Lekki, Lagos",-0.38342903530224925,3.811528889589191,6.463467417995378
3625,3625,2000000,0,0,0,2,2,3,1,1,0,0,0,1,Lagos,Ikeja,Ikeja Gra Ikeja Gra,,"Ikeja, Lagos",-0.8412194677849562,3.3478371646130074,6.58927091785122
3626,3626,5000000,1,1,0,4,4,5,1,1,0,0,0,1,Lagos,Ikeja,Ikeja Gra Ikeja Gra,,"Ikeja, Lagos",0.5321518296631645,3.3478371646130074,6.58927091785122
3627,3627,3000000,1,1,0,4,4,5,1,1,0,0,0,1,Lagos,Surulere,Bethel Estate Iponri Iponri,,"Surulere, Lagos",-0.38342903530224925,3.3471474574728135,6.49532281309866
3628,3628,3000000,0,0,0,4,4,5,1,1,0,0,0,1,Lagos,Maryland,Maryland Estate Lsdpc Maryland Estate,,"Maryland, Lagos",-0.38342903530224925,3.3687836603272276,6.5763437989010685
3629,3629,2500000,0,1,0,3,3,4,1,1,0,0,0,1,Lagos,Gbagada,Glory Estate Ifako Gbagada,,"Gbagada, Lagos",-0.6123242515436027,3.384354402026543,6.559514044678202
3630,3630,2500000,0,0,0,4,4,5,1,1,0,0,0,1,Lagos,Yaba,Alagomeji Alagomeji,,"Yaba, Lagos",-0.6123242515436027,3.3870802913397373,6.507822008056753
3631,3631,3000000,0,0,0,3,4,4,1,1,0,0,0,1,Lagos,Ogudu,Ogudu Gra Phase 2 Ogudu Gra,,"Ogudu, Lagos",-0.38342903530224925,3.3892404021287557,6.577188279775259
3632,3632,8500000,1,1,0,4,4,5,1,1,0,0,0,1,Lagos,Victoria Island,Off Ogunyemi Street Oniru Victoria,,"Victoria Island, Lagos",2.1344183433526385,3.44001490107383,6.428345382914202
3633,3633,5500000,1,0,0,5,5,6,1,1,0,0,0,1,Lagos,Victoria Island,Off Yesuf Abiodun Road Oniru Victoria,,"Victoria Island, Lagos",0.761047045904518,3.44001490107383,6.428345382914202
3634,3634,5000000,1,0,0,4,4,5,1,1,0,0,0,1,Lagos,Victoria Island,Off Chief Abiodun Road Oniru Victoria,,"Victoria Island, Lagos",0.5321518296631645,3.44001490107383,6.428345382914202
3635,3635,5500000,1,0,0,4,4,5,1,1,0,0,0,1,Lagos,Victoria Island,Off Oniru Palace Road Oniru Victoria,,"Victoria Island, Lagos",0.761047045904518,3.44001490107383,6.428345382914202
3636,3636,6500000,1,0,0,5,5,6,1,1,0,0,0,1,Lagos,Victoria Island,Off Chief Yesufu Abiodun Road Oniru Victoria,,"Victoria Island, Lagos",1.218837478387225,3.44001490107383,6.428345382914202
3637,3637,5000000,1,0,0,4,4,5,1,1,0,0,0,1,Lagos,Victoria Island,Off Ligali Ayorinde Street Ligali Ayorinde Victoria,,"Victoria Island, Lagos",0.5321518296631645,3.44001490107383,6.428345382914202
3638,3638,1500000,0,1,0,2,2,3,0,1,0,0,0,1,Lagos,Gbagada,Yetunde Brown Ifako Gbagada,,"Gbagada, Lagos",-1.0701146840263096,3.384354402026543,6.559514044678202
3639,3639,1500000,0,1,0,3,3,4,1,1,0,0,0,1,Lagos,Ojodu,Awobodu Street Isheri North,,"Ojodu, Lagos",-1.0701146840263096,3.3632243589774644,6.6409227554929595
3640,3640,1500000,0,1,0,3,3,4,1,1,0,0,0,1,Lagos,Ojodu,Abowaba Street Isheri North,,"Ojodu, Lagos",-1.0701146840263096,3.3632243589774644,6.6409227554929595
3641,3641,2000000,0,0,0,4,3,4,1,1,0,0,0,1,Lagos,Ojodu,Green Field Estate Isheri North,,"Ojodu, Lagos",-0.8412194677849562,3.3632243589774644,6.6409227554929595
